text,source,rating,user_segment,author,created_at
Search doesn't find recipes I've literally saved.,zendesk,,power_user,Sam X.,2026-04-24T18:32:54.026795+00:00
Saved recipes on iPhone don't sync to my iPad. Made me cancel.,nps,1,free_tier,Yuki A.,2026-04-28T18:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,nps,3,power_user,Riley L.,2026-02-12T01:32:54.026795+00:00
Loved the recipes but the signup flow asks for my address?? Why?,zendesk,,smb,Sam M.,2026-05-12T23:32:54.026795+00:00
App is beautiful and easy to use. 5 stars.,zendesk,,smb,Diego D.,2026-02-12T00:32:54.026795+00:00
Pro features should include grocery integration at this price.,app_store,3,free_tier,Chen U.,2026-02-08T05:32:54.026795+00:00
Tried to subscribe to Pro but the payment failed silently.,play_store,2,new_user,Riley J.,2026-05-15T18:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,play_store,3,enterprise,Sam V.,2026-04-10T19:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,play_store,2,enterprise,Diego H.,2026-03-27T13:32:54.026795+00:00
"Please add dark mode, my eyes hurt at night cooking.",play_store,3,smb,Maya C.,2026-02-11T15:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,zendesk,,smb,Riley W.,2026-04-28T05:32:54.026795+00:00
AI suggestions are great when they work but maybe 30% of the time the ingredients don't make sense.,play_store,3,free_tier,Maya Z.,2026-02-19T08:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,nps,2,new_user,Alex D.,2026-03-21T10:32:54.026795+00:00
Card was charged but Pro features didn't unlock for 48 hours. Support never replied.,interview,,smb,Yuki Q.,2026-05-17T13:32:54.026795+00:00
Search is way too slow on Android — takes 5+ seconds.,app_store,2,enterprise,Chen D.,2026-02-27T08:32:54.026795+00:00
Loved the recipes but the signup flow asks for my address?? Why?,nps,3,free_tier,Sam W.,2026-03-22T20:32:54.026795+00:00
First-time experience felt confusing — I wasn't sure what the app actually did until step 4.,interview,,enterprise,Priya T.,2026-04-30T21:32:54.026795+00:00
$15/month for what is essentially a recipe app is too much.,interview,,new_user,Sam M.,2026-04-14T10:32:54.026795+00:00
